latitude,longitude,name,,
35.9748233,-111.9822199,Point 695,,
36.0387013,-111.8325312,Point 696,,
36.2660021,-121.8170832,Point 697,,
34.1422852,-118.3514048,Point 698,,
34.0893391,-118.3742098,Point 699,,
39.4418947,-123.8167132,Point 700,,
40.3299734,-123.96738,Point 701,,
39.7065908,-123.8067907,Point 702,,
38.3275893,-123.0535237,Point 703,,
38.9283714,-123.7291829,Point 704,,
-20.0168169,57.5565557,Point 705,,
-20.0088606,57.6800685,Point 706,,
-20.4441037,57.3857025,Point 707,,
-20.3402682,57.3647874,Point 708,,
48.7004539,8.1319902,Point 714,,
48.5883931,8.0056476,Point 715,,
48.5848894,7.7363342,Point 716,,
48.5809716,7.7497238,Point 717,,
48.5788138,7.7502388,Point 718,,
48.5827034,7.7310127,Point 719,,
48.6022673,7.7316994,Point 720,,
54.5594125,23.375029,Point 721,,
54.3806477,24.0232223,Point 722,,
54.1174738,22.9136032,Point 723,,
53.8331723,22.9685348,Point 724,,
53.8331723,22.3642868,Point 725,,
52.1740268,22.2763962,Point 726,,
52.6982878,23.8592374,Point 727,,
53.175152,23.8105335,Point 728,,
52.35335422,22.6152516,Point 729,,
51.50487,23.6017932,Point 730,,
51.140991,23.4562244,Point 731,,
51.4124578,21.9565906,Point 732,,
51.3190813,21.9333699,Point 733,,
50.721711,23.2565242,Point 734,,
50.6938815,22.968133,Point 735,,
53.3806157,22.1508177,Point 736,,
